date,body,status,sign,stationary,primary_scoring,bonus_eligible,influence_weight
2021-01-31,Mercury,starts,Aquarius,False,True,,
2021-02-21,Mercury,ends,Aquarius,False,True,,
2021-04-28,Pluto,starts,Capricorn,True,False,True,95.0
2021-05-23,Saturn,starts,Aquarius,True,True,,
2021-05-30,Mercury,starts,Gemini,False,True,,
2021-06-21,Jupiter,starts,Pisces,True,True,,
2021-06-23,Mercury,ends,Gemini,False,True,,
2021-06-26,Neptune,starts,Pisces,True,False,True,85.0
2021-08-20,Uranus,starts,Taurus,True,False,True,90.0
2021-09-27,Mercury,starts,Libra,False,True,,
2021-10-07,Pluto,ends,Capricorn,True,False,True,95.0
2021-10-11,Saturn,ends,Aquarius,True,True,,
2021-10-18,Jupiter,ends,Aquarius,True,True,,
2021-10-19,Mercury,ends,Libra,False,True,,
2021-12-02,Neptune,ends,Pisces,True,False,True,85.0
2021-12-19,Venus,starts,Capricorn,True,True,,
2022-01-14,Mercury,starts,Aquarius,True,True,,
2022-01-19,Uranus,ends,Taurus,True,False,True,90.0
2022-01-29,Venus,ends,Capricorn,True,True,,
2022-02-04,Mercury,ends,Capricorn,False,True,,
2022-04-30,Pluto,starts,Capricorn,True,False,True,95.0
2022-05-10,Mercury,starts,Gemini,True,True,,
2022-06-03,Mercury,ends,Taurus,False,True,,
2022-06-05,Saturn,starts,Aquarius,True,True,,
2022-06-28,Neptune,starts,Pisces,True,False,True,85.0
2022-07-29,Jupiter,starts,Aries,True,True,,
2022-08-25,Uranus,starts,Taurus,True,False,True,90.0
2022-09-10,Mercury,starts,Libra,False,True,,
2022-10-02,Mercury,ends,Virgo,False,True,,
2022-10-09,Pluto,ends,Capricorn,True,False,True,95.0
2022-10-23,Saturn,ends,Aquarius,True,True,,
2022-10-31,Mars,starts,Gemini,False,True,,
2022-11-24,Jupiter,ends,Pisces,True,True,,
2022-12-04,Neptune,ends,Pisces,True,False,True,85.0
2022-12-29,Mercury,starts,Capricorn,False,True,,
2023-01-13,Mars,ends,Gemini,True,True,,
2023-01-19,Mercury,ends,Capricorn,False,True,,
2023-01-23,Uranus,ends,Taurus,True,False,True,90.0
2023-04-21,Mercury,starts,Taurus,False,True,,
2023-05-02,Pluto,starts,Aquarius,True,False,True,95.0
2023-05-15,Mercury,ends,Taurus,False,True,,
2023-06-18,Saturn,starts,Pisces,True,True,,
2023-07-01,Neptune,starts,Pisces,True,False,True,85.0
2023-07-23,Venus,starts,Leo,False,True,,
2023-08-24,Mercury,starts,Virgo,False,True,,
2023-08-29,Uranus,starts,Taurus,True,False,True,90.0
2023-09-04,Venus,ends,Leo,False,True,,
2023-09-05,Jupiter,starts,Taurus,True,True,,
2023-09-16,Mercury,ends,Virgo,False,True,,
2023-10-11,Pluto,ends,Capricorn,True,False,True,95.0
2023-11-04,Saturn,ends,Pisces,True,True,,
2023-12-07,Neptune,ends,Pisces,True,False,True,85.0
2023-12-13,Mercury,starts,Capricorn,False,True,,
2023-12-31,Jupiter,ends,Taurus,True,True,,
2024-01-02,Mercury,ends,Sagittarius,False,True,,
2024-01-27,Uranus,ends,Taurus,True,False,True,90.0
2024-04-02,Mercury,starts,Aries,False,True,,
2024-04-26,Mercury,ends,Aries,False,True,,
2024-05-03,Pluto,starts,Aquarius,True,False,True,95.0
2024-06-30,Saturn,starts,Pisces,True,True,,
2024-07-02,Neptune,starts,Pisces,True,False,True,85.0
2024-08-05,Mercury,starts,Virgo,False,True,,
2024-08-29,Mercury,ends,Leo,False,True,,
2024-09-02,Uranus,starts,Taurus,True,False,True,90.0
2024-10-09,Jupiter,starts,Gemini,True,True,,
2024-10-12,Pluto,ends,Capricorn,True,False,True,95.0
2024-11-16,Saturn,ends,Pisces,True,True,,
2024-11-26,Mercury,starts,Sagittarius,False,True,,
2024-12-07,Mars,starts,Leo,True,True,,
2024-12-08,Neptune,ends,Pisces,True,False,True,85.0
2024-12-16,Mercury,ends,Sagittarius,False,True,,
2025-01-31,Uranus,ends,Taurus,True,False,True,90.0
2025-02-04,Jupiter,ends,Gemini,True,True,,
2025-02-24,Mars,ends,Cancer,True,True,,
2025-03-02,Venus,starts,Aries,False,True,,
2025-03-15,Mercury,starts,Aries,False,True,,
2025-04-07,Mercury,ends,Pisces,True,True,,
2025-04-13,Venus,ends,Pisces,False,True,,
2025-05-05,Pluto,starts,Aquarius,True,False,True,95.0
2025-07-05,Neptune,starts,Aries,True,False,True,85.0
2025-07-13,Saturn,starts,Aries,True,True,,
2025-07-18,Mercury,starts,Leo,False,True,,
2025-08-11,Mercury,ends,Leo,False,True,,
2025-09-06,Uranus,starts,Gemini,True,False,True,90.0
2025-10-14,Pluto,ends,Aquarius,True,False,True,95.0
2025-11-10,Mercury,starts,Sagittarius,False,True,,
2025-11-12,Jupiter,starts,Cancer,True,True,,
2025-11-28,Saturn,ends,Pisces,True,True,,
2025-11-30,Mercury,ends,Scorpio,False,True,,
2025-12-11,Neptune,ends,Pisces,True,False,True,85.0
