date,body,sign,from_sign,ruler,element
2004-12-22,Sun,Capricorn,Sagittarius,Saturn,earth
2004-12-24,Moon,Gemini,Taurus,Mercury,air
2004-12-26,Moon,Cancer,Gemini,Moon,water
2004-12-26,Mars,Sagittarius,Scorpio,Jupiter,fire
2004-12-29,Moon,Leo,Cancer,Sun,fire
2004-12-31,Moon,Virgo,Leo,Mercury,earth
2005-01-03,Moon,Libra,Virgo,Venus,air
2005-01-05,Moon,Scorpio,Libra,Mars,water
2005-01-07,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-01-09,Moon,Capricorn,Sagittarius,Saturn,earth
2005-01-10,Mercury,Capricorn,Sagittarius,Saturn,earth
2005-01-10,Venus,Capricorn,Sagittarius,Saturn,earth
2005-01-11,Moon,Aquarius,Capricorn,Saturn,air
2005-01-13,Moon,Pisces,Aquarius,Jupiter,water
2005-01-15,Moon,Aries,Pisces,Mars,fire
2005-01-18,Moon,Taurus,Aries,Venus,earth
2005-01-20,Sun,Aquarius,Capricorn,Saturn,air
2005-01-20,Moon,Gemini,Taurus,Mercury,air
2005-01-22,Moon,Cancer,Gemini,Moon,water
2005-01-25,Moon,Leo,Cancer,Sun,fire
2005-01-27,Moon,Virgo,Leo,Mercury,earth
2005-01-30,Moon,Libra,Virgo,Venus,air
2005-01-30,Mercury,Aquarius,Capricorn,Saturn,air
2005-02-01,Moon,Scorpio,Libra,Mars,water
2005-02-03,Venus,Aquarius,Capricorn,Saturn,air
2005-02-04,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-02-06,Moon,Capricorn,Sagittarius,Saturn,earth
2005-02-07,Mars,Capricorn,Sagittarius,Saturn,earth
2005-02-08,Moon,Aquarius,Capricorn,Saturn,air
2005-02-10,Moon,Pisces,Aquarius,Jupiter,water
2005-02-12,Moon,Aries,Pisces,Mars,fire
2005-02-14,Moon,Taurus,Aries,Venus,earth
2005-02-16,Moon,Gemini,Taurus,Mercury,air
2005-02-17,Mercury,Pisces,Aquarius,Jupiter,water
2005-02-19,Sun,Pisces,Aquarius,Jupiter,water
2005-02-19,Moon,Cancer,Gemini,Moon,water
2005-02-21,Moon,Leo,Cancer,Sun,fire
2005-02-24,Moon,Virgo,Leo,Mercury,earth
2005-02-26,Moon,Libra,Virgo,Venus,air
2005-02-27,Venus,Pisces,Aquarius,Jupiter,water
2005-03-01,Moon,Scorpio,Libra,Mars,water
2005-03-03,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-03-05,Moon,Capricorn,Sagittarius,Saturn,earth
2005-03-05,Mercury,Aries,Pisces,Mars,fire
2005-03-07,Moon,Aquarius,Capricorn,Saturn,air
2005-03-09,Moon,Pisces,Aquarius,Jupiter,water
2005-03-11,Moon,Aries,Pisces,Mars,fire
2005-03-13,Moon,Taurus,Aries,Venus,earth
2005-03-16,Moon,Gemini,Taurus,Mercury,air
2005-03-18,Moon,Cancer,Gemini,Moon,water
2005-03-21,Sun,Aries,Pisces,Mars,fire
2005-03-21,Moon,Leo,Cancer,Sun,fire
2005-03-21,Mars,Aquarius,Capricorn,Saturn,air
2005-03-23,Moon,Virgo,Leo,Mercury,earth
2005-03-23,Venus,Aries,Pisces,Mars,fire
2005-03-25,Moon,Libra,Virgo,Venus,air
2005-03-28,Moon,Scorpio,Libra,Mars,water
2005-03-30,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-04-01,Moon,Capricorn,Sagittarius,Saturn,earth
2005-04-03,Moon,Aquarius,Capricorn,Saturn,air
2005-04-05,Moon,Pisces,Aquarius,Jupiter,water
2005-04-07,Moon,Aries,Pisces,Mars,fire
2005-04-10,Moon,Taurus,Aries,Venus,earth
2005-04-12,Moon,Gemini,Taurus,Mercury,air
2005-04-14,Moon,Cancer,Gemini,Moon,water
2005-04-16,Venus,Taurus,Aries,Venus,earth
2005-04-17,Moon,Leo,Cancer,Sun,fire
2005-04-19,Moon,Virgo,Leo,Mercury,earth
2005-04-20,Sun,Taurus,Aries,Venus,earth
2005-04-22,Moon,Libra,Virgo,Venus,air
2005-04-24,Moon,Scorpio,Libra,Mars,water
2005-04-26,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-04-28,Moon,Capricorn,Sagittarius,Saturn,earth
2005-04-30,Moon,Aquarius,Capricorn,Saturn,air
2005-05-01,Mars,Pisces,Aquarius,Jupiter,water
2005-05-03,Moon,Pisces,Aquarius,Jupiter,water
2005-05-05,Moon,Aries,Pisces,Mars,fire
2005-05-07,Moon,Taurus,Aries,Venus,earth
2005-05-09,Moon,Gemini,Taurus,Mercury,air
2005-05-10,Venus,Gemini,Taurus,Mercury,air
2005-05-12,Moon,Cancer,Gemini,Moon,water
2005-05-12,Mercury,Taurus,Aries,Venus,earth
2005-05-14,Moon,Leo,Cancer,Sun,fire
2005-05-17,Moon,Virgo,Leo,Mercury,earth
2005-05-19,Moon,Libra,Virgo,Venus,air
2005-05-21,Sun,Gemini,Taurus,Mercury,air
2005-05-21,Moon,Scorpio,Libra,Mars,water
2005-05-24,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-05-26,Moon,Capricorn,Sagittarius,Saturn,earth
2005-05-28,Moon,Aquarius,Capricorn,Saturn,air
2005-05-28,Mercury,Gemini,Taurus,Mercury,air
2005-05-30,Moon,Pisces,Aquarius,Jupiter,water
2005-06-01,Moon,Aries,Pisces,Mars,fire
2005-06-03,Moon,Taurus,Aries,Venus,earth
2005-06-04,Venus,Cancer,Gemini,Moon,water
2005-06-06,Moon,Gemini,Taurus,Mercury,air
2005-06-08,Moon,Cancer,Gemini,Moon,water
2005-06-11,Moon,Leo,Cancer,Sun,fire
2005-06-11,Mercury,Cancer,Gemini,Moon,water
2005-06-12,Mars,Aries,Pisces,Mars,fire
2005-06-13,Moon,Virgo,Leo,Mercury,earth
2005-06-16,Moon,Libra,Virgo,Venus,air
2005-06-18,Moon,Scorpio,Libra,Mars,water
2005-06-20,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-06-21,Sun,Cancer,Gemini,Moon,water
2005-06-22,Moon,Capricorn,Sagittarius,Saturn,earth
2005-06-24,Moon,Aquarius,Capricorn,Saturn,air
2005-06-26,Moon,Pisces,Aquarius,Jupiter,water
2005-06-28,Moon,Aries,Pisces,Mars,fire
2005-06-28,Mercury,Leo,Cancer,Sun,fire
2005-06-28,Venus,Leo,Cancer,Sun,fire
2005-06-30,Moon,Taurus,Aries,Venus,earth
2005-07-03,Moon,Gemini,Taurus,Mercury,air
2005-07-05,Moon,Cancer,Gemini,Moon,water
2005-07-08,Moon,Leo,Cancer,Sun,fire
2005-07-10,Moon,Virgo,Leo,Mercury,earth
2005-07-13,Moon,Libra,Virgo,Venus,air
2005-07-15,Moon,Scorpio,Libra,Mars,water
2005-07-17,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-07-17,Saturn,Leo,Cancer,Sun,fire
2005-07-20,Moon,Capricorn,Sagittarius,Saturn,earth
2005-07-22,Moon,Aquarius,Capricorn,Saturn,air
2005-07-23,Sun,Leo,Cancer,Sun,fire
2005-07-23,Venus,Virgo,Leo,Mercury,earth
2005-07-24,Moon,Pisces,Aquarius,Jupiter,water
2005-07-26,Moon,Aries,Pisces,Mars,fire
2005-07-28,Moon,Taurus,Aries,Venus,earth
2005-07-28,Mars,Taurus,Aries,Venus,earth
2005-07-30,Moon,Gemini,Taurus,Mercury,air
2005-08-02,Moon,Cancer,Gemini,Moon,water
2005-08-04,Moon,Leo,Cancer,Sun,fire
2005-08-07,Moon,Virgo,Leo,Mercury,earth
2005-08-09,Moon,Libra,Virgo,Venus,air
2005-08-12,Moon,Scorpio,Libra,Mars,water
2005-08-14,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-08-16,Moon,Capricorn,Sagittarius,Saturn,earth
2005-08-17,Venus,Libra,Virgo,Venus,air
2005-08-18,Moon,Aquarius,Capricorn,Saturn,air
2005-08-20,Moon,Pisces,Aquarius,Jupiter,water
2005-08-22,Moon,Aries,Pisces,Mars,fire
2005-08-23,Sun,Virgo,Leo,Mercury,earth
2005-08-24,Moon,Taurus,Aries,Venus,earth
2005-08-26,Moon,Gemini,Taurus,Mercury,air
2005-08-29,Moon,Cancer,Gemini,Moon,water
2005-08-31,Moon,Leo,Cancer,Sun,fire
2005-09-03,Moon,Virgo,Leo,Mercury,earth
2005-09-05,Moon,Libra,Virgo,Venus,air
2005-09-05,Mercury,Virgo,Leo,Mercury,earth
2005-09-08,Moon,Scorpio,Libra,Mars,water
2005-09-10,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-09-12,Moon,Capricorn,Sagittarius,Saturn,earth
2005-09-12,Venus,Scorpio,Libra,Mars,water
2005-09-14,Moon,Aquarius,Capricorn,Saturn,air
2005-09-16,Moon,Pisces,Aquarius,Jupiter,water
2005-09-18,Moon,Aries,Pisces,Mars,fire
2005-09-20,Moon,Taurus,Aries,Venus,earth
2005-09-21,Mercury,Libra,Virgo,Venus,air
2005-09-23,Sun,Libra,Virgo,Venus,air
2005-09-23,Moon,Gemini,Taurus,Mercury,air
2005-09-25,Moon,Cancer,Gemini,Moon,water
2005-09-28,Moon,Leo,Cancer,Sun,fire
2005-09-30,Moon,Virgo,Leo,Mercury,earth
2005-10-03,Moon,Libra,Virgo,Venus,air
2005-10-05,Moon,Scorpio,Libra,Mars,water
2005-10-07,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-10-08,Venus,Sagittarius,Scorpio,Jupiter,fire
2005-10-09,Mercury,Scorpio,Libra,Mars,water
2005-10-10,Moon,Capricorn,Sagittarius,Saturn,earth
2005-10-12,Moon,Aquarius,Capricorn,Saturn,air
2005-10-14,Moon,Pisces,Aquarius,Jupiter,water
2005-10-16,Moon,Aries,Pisces,Mars,fire
2005-10-18,Moon,Taurus,Aries,Venus,earth
2005-10-20,Moon,Gemini,Taurus,Mercury,air
2005-10-22,Moon,Cancer,Gemini,Moon,water
2005-10-23,Sun,Scorpio,Libra,Mars,water
2005-10-25,Moon,Leo,Cancer,Sun,fire
2005-10-26,Jupiter,Scorpio,Libra,Mars,water
2005-10-27,Moon,Virgo,Leo,Mercury,earth
2005-10-30,Moon,Libra,Virgo,Venus,air
2005-10-30,Mercury,Sagittarius,Scorpio,Jupiter,fire
2005-11-01,Moon,Scorpio,Libra,Mars,water
2005-11-04,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-11-05,Venus,Capricorn,Sagittarius,Saturn,earth
2005-11-06,Moon,Capricorn,Sagittarius,Saturn,earth
2005-11-08,Moon,Aquarius,Capricorn,Saturn,air
2005-11-10,Moon,Pisces,Aquarius,Jupiter,water
2005-11-12,Moon,Aries,Pisces,Mars,fire
2005-11-14,Moon,Taurus,Aries,Venus,earth
2005-11-17,Moon,Gemini,Taurus,Mercury,air
2005-11-19,Moon,Cancer,Gemini,Moon,water
2005-11-21,Moon,Leo,Cancer,Sun,fire
2005-11-22,Sun,Sagittarius,Scorpio,Jupiter,fire
2005-11-24,Moon,Virgo,Leo,Mercury,earth
2005-11-26,Moon,Libra,Virgo,Venus,air
2005-11-26,Mercury,Scorpio,Sagittarius,Mars,water
2005-11-29,Moon,Scorpio,Libra,Mars,water
2005-12-01,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-12-03,Moon,Capricorn,Sagittarius,Saturn,earth
2005-12-05,Moon,Aquarius,Capricorn,Saturn,air
2005-12-07,Moon,Pisces,Aquarius,Jupiter,water
2005-12-09,Moon,Aries,Pisces,Mars,fire
2005-12-12,Moon,Taurus,Aries,Venus,earth
2005-12-13,Mercury,Sagittarius,Scorpio,Jupiter,fire
2005-12-14,Moon,Gemini,Taurus,Mercury,air
2005-12-16,Moon,Cancer,Gemini,Moon,water
2005-12-16,Venus,Aquarius,Capricorn,Saturn,air
2005-12-19,Moon,Leo,Cancer,Sun,fire
2005-12-21,Moon,Virgo,Leo,Mercury,earth
2005-12-22,Sun,Capricorn,Sagittarius,Saturn,earth
2005-12-24,Moon,Libra,Virgo,Venus,air
2005-12-26,Moon,Scorpio,Libra,Mars,water
2005-12-28,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-12-30,Moon,Capricorn,Sagittarius,Saturn,earth
2006-01-02,Moon,Aquarius,Capricorn,Saturn,air
2006-01-02,Venus,Capricorn,Aquarius,Saturn,earth
2006-01-04,Moon,Pisces,Aquarius,Jupiter,water
2006-01-04,Mercury,Capricorn,Sagittarius,Saturn,earth
2006-01-06,Moon,Aries,Pisces,Mars,fire
2006-01-08,Moon,Taurus,Aries,Venus,earth
2006-01-10,Moon,Gemini,Taurus,Mercury,air
2006-01-12,Moon,Cancer,Gemini,Moon,water
2006-01-15,Moon,Leo,Cancer,Sun,fire
2006-01-17,Moon,Virgo,Leo,Mercury,earth
2006-01-20,Sun,Aquarius,Capricorn,Saturn,air
2006-01-20,Moon,Libra,Virgo,Venus,air
2006-01-22,Moon,Scorpio,Libra,Mars,water
2006-01-23,Mercury,Aquarius,Capricorn,Saturn,air
2006-01-25,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-01-27,Moon,Capricorn,Sagittarius,Saturn,earth
2006-01-29,Moon,Aquarius,Capricorn,Saturn,air
2006-01-31,Moon,Pisces,Aquarius,Jupiter,water
2006-02-02,Moon,Aries,Pisces,Mars,fire
2006-02-04,Moon,Taurus,Aries,Venus,earth
2006-02-06,Moon,Gemini,Taurus,Mercury,air
2006-02-09,Moon,Cancer,Gemini,Moon,water
2006-02-09,Mercury,Pisces,Aquarius,Jupiter,water
2006-02-11,Moon,Leo,Cancer,Sun,fire
2006-02-14,Moon,Virgo,Leo,Mercury,earth
2006-02-16,Moon,Libra,Virgo,Venus,air
2006-02-18,Mars,Gemini,Taurus,Mercury,air
2006-02-19,Sun,Pisces,Aquarius,Jupiter,water
2006-02-19,Moon,Scorpio,Libra,Mars,water
2006-02-21,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-02-23,Moon,Capricorn,Sagittarius,Saturn,earth
2006-02-25,Moon,Aquarius,Capricorn,Saturn,air
2006-02-27,Moon,Pisces,Aquarius,Jupiter,water
2006-03-01,Moon,Aries,Pisces,Mars,fire
2006-03-03,Moon,Taurus,Aries,Venus,earth
2006-03-05,Venus,Aquarius,Capricorn,Saturn,air
2006-03-06,Moon,Gemini,Taurus,Mercury,air
2006-03-08,Moon,Cancer,Gemini,Moon,water
2006-03-10,Moon,Leo,Cancer,Sun,fire
2006-03-13,Moon,Virgo,Leo,Mercury,earth
2006-03-15,Moon,Libra,Virgo,Venus,air
2006-03-18,Moon,Scorpio,Libra,Mars,water
2006-03-20,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-03-21,Sun,Aries,Pisces,Mars,fire
2006-03-23,Moon,Capricorn,Sagittarius,Saturn,earth
2006-03-25,Moon,Aquarius,Capricorn,Saturn,air
2006-03-27,Moon,Pisces,Aquarius,Jupiter,water
2006-03-29,Moon,Aries,Pisces,Mars,fire
2006-03-31,Moon,Taurus,Aries,Venus,earth
2006-04-02,Moon,Gemini,Taurus,Mercury,air
2006-04-04,Moon,Cancer,Gemini,Moon,water
2006-04-06,Venus,Pisces,Aquarius,Jupiter,water
2006-04-07,Moon,Leo,Cancer,Sun,fire
2006-04-09,Moon,Virgo,Leo,Mercury,earth
2006-04-12,Moon,Libra,Virgo,Venus,air
2006-04-14,Moon,Scorpio,Libra,Mars,water
2006-04-14,Mars,Cancer,Gemini,Moon,water
2006-04-17,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-04-17,Mercury,Aries,Pisces,Mars,fire
2006-04-19,Moon,Capricorn,Sagittarius,Saturn,earth
2006-04-20,Sun,Taurus,Aries,Venus,earth
2006-04-21,Moon,Aquarius,Capricorn,Saturn,air
2006-04-23,Moon,Pisces,Aquarius,Jupiter,water
2006-04-25,Moon,Aries,Pisces,Mars,fire
2006-04-27,Moon,Taurus,Aries,Venus,earth
2006-04-29,Moon,Gemini,Taurus,Mercury,air
2006-05-02,Moon,Cancer,Gemini,Moon,water
2006-05-03,Venus,Aries,Pisces,Mars,fire
2006-05-04,Moon,Leo,Cancer,Sun,fire
2006-05-05,Mercury,Taurus,Aries,Venus,earth
2006-05-07,Moon,Virgo,Leo,Mercury,earth
2006-05-09,Moon,Libra,Virgo,Venus,air
2006-05-12,Moon,Scorpio,Libra,Mars,water
2006-05-14,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-05-16,Moon,Capricorn,Sagittarius,Saturn,earth
2006-05-18,Moon,Aquarius,Capricorn,Saturn,air
2006-05-20,Moon,Pisces,Aquarius,Jupiter,water
2006-05-20,Mercury,Gemini,Taurus,Mercury,air
2006-05-21,Sun,Gemini,Taurus,Mercury,air
2006-05-23,Moon,Aries,Pisces,Mars,fire
2006-05-25,Moon,Taurus,Aries,Venus,earth
2006-05-27,Moon,Gemini,Taurus,Mercury,air
2006-05-29,Moon,Cancer,Gemini,Moon,water
2006-05-30,Venus,Taurus,Aries,Venus,earth
2006-05-31,Moon,Leo,Cancer,Sun,fire
2006-06-03,Moon,Virgo,Leo,Mercury,earth
2006-06-03,Mercury,Cancer,Gemini,Moon,water
2006-06-04,Mars,Leo,Cancer,Sun,fire
2006-06-05,Moon,Libra,Virgo,Venus,air
2006-06-08,Moon,Scorpio,Libra,Mars,water
2006-06-10,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-06-12,Moon,Capricorn,Sagittarius,Saturn,earth
2006-06-15,Moon,Aquarius,Capricorn,Saturn,air
2006-06-17,Moon,Pisces,Aquarius,Jupiter,water
2006-06-19,Moon,Aries,Pisces,Mars,fire
2006-06-21,Moon,Taurus,Aries,Venus,earth
2006-06-22,Sun,Cancer,Gemini,Moon,water
2006-06-23,Moon,Gemini,Taurus,Mercury,air
2006-06-24,Venus,Gemini,Taurus,Mercury,air
2006-06-25,Moon,Cancer,Gemini,Moon,water
2006-06-28,Moon,Leo,Cancer,Sun,fire
2006-06-29,Mercury,Leo,Cancer,Sun,fire
2006-06-30,Moon,Virgo,Leo,Mercury,earth
2006-07-03,Moon,Libra,Virgo,Venus,air
2006-07-05,Moon,Scorpio,Libra,Mars,water
2006-07-08,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-07-10,Moon,Capricorn,Sagittarius,Saturn,earth
2006-07-11,Mercury,Cancer,Leo,Moon,water
2006-07-12,Moon,Aquarius,Capricorn,Saturn,air
2006-07-14,Moon,Pisces,Aquarius,Jupiter,water
2006-07-16,Moon,Aries,Pisces,Mars,fire
2006-07-18,Moon,Taurus,Aries,Venus,earth
2006-07-19,Venus,Cancer,Gemini,Moon,water
2006-07-20,Moon,Gemini,Taurus,Mercury,air
2006-07-23,Sun,Leo,Cancer,Sun,fire
2006-07-23,Moon,Cancer,Gemini,Moon,water
2006-07-23,Mars,Virgo,Leo,Mercury,earth
2006-07-25,Moon,Leo,Cancer,Sun,fire
2006-07-27,Moon,Virgo,Leo,Mercury,earth
2006-07-30,Moon,Libra,Virgo,Venus,air
2006-08-02,Moon,Scorpio,Libra,Mars,water
2006-08-04,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-08-06,Moon,Capricorn,Sagittarius,Saturn,earth
2006-08-08,Moon,Aquarius,Capricorn,Saturn,air
2006-08-10,Moon,Pisces,Aquarius,Jupiter,water
2006-08-11,Mercury,Leo,Cancer,Sun,fire
2006-08-12,Moon,Aries,Pisces,Mars,fire
2006-08-13,Venus,Leo,Cancer,Sun,fire
2006-08-14,Moon,Taurus,Aries,Venus,earth
2006-08-17,Moon,Gemini,Taurus,Mercury,air
2006-08-19,Moon,Cancer,Gemini,Moon,water
2006-08-21,Moon,Leo,Cancer,Sun,fire
2006-08-23,Sun,Virgo,Leo,Mercury,earth
2006-08-24,Moon,Virgo,Leo,Mercury,earth
2006-08-26,Moon,Libra,Virgo,Venus,air
2006-08-28,Mercury,Virgo,Leo,Mercury,earth
2006-08-29,Moon,Scorpio,Libra,Mars,water
2006-08-31,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-09-03,Moon,Capricorn,Sagittarius,Saturn,earth
2006-09-05,Moon,Aquarius,Capricorn,Saturn,air
2006-09-06,Venus,Virgo,Leo,Mercury,earth
2006-09-07,Moon,Pisces,Aquarius,Jupiter,water
2006-09-08,Mars,Libra,Virgo,Venus,air
2006-09-09,Moon,Aries,Pisces,Mars,fire
2006-09-11,Moon,Taurus,Aries,Venus,earth
2006-09-13,Moon,Gemini,Taurus,Mercury,air
2006-09-13,Mercury,Libra,Virgo,Venus,air
2006-09-15,Moon,Cancer,Gemini,Moon,water
2006-09-18,Moon,Leo,Cancer,Sun,fire
2006-09-20,Moon,Virgo,Leo,Mercury,earth
2006-09-23,Sun,Libra,Virgo,Venus,air
2006-09-23,Moon,Libra,Virgo,Venus,air
2006-09-25,Moon,Scorpio,Libra,Mars,water
2006-09-28,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-09-30,Moon,Capricorn,Sagittarius,Saturn,earth
2006-09-30,Venus,Libra,Virgo,Venus,air
2006-10-02,Moon,Aquarius,Capricorn,Saturn,air
2006-10-02,Mercury,Scorpio,Libra,Mars,water
2006-10-04,Moon,Pisces,Aquarius,Jupiter,water
2006-10-06,Moon,Aries,Pisces,Mars,fire
2006-10-08,Moon,Taurus,Aries,Venus,earth
2006-10-10,Moon,Gemini,Taurus,Mercury,air
2006-10-12,Moon,Cancer,Gemini,Moon,water
2006-10-15,Moon,Leo,Cancer,Sun,fire
2006-10-17,Moon,Virgo,Leo,Mercury,earth
2006-10-20,Moon,Libra,Virgo,Venus,air
2006-10-22,Moon,Scorpio,Libra,Mars,water
2006-10-24,Sun,Scorpio,Libra,Mars,water
2006-10-24,Venus,Scorpio,Libra,Mars,water
2006-10-24,Mars,Scorpio,Libra,Mars,water
2006-10-25,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-10-27,Moon,Capricorn,Sagittarius,Saturn,earth
2006-10-29,Moon,Aquarius,Capricorn,Saturn,air
2006-11-01,Moon,Pisces,Aquarius,Jupiter,water
2006-11-03,Moon,Aries,Pisces,Mars,fire
2006-11-05,Moon,Taurus,Aries,Venus,earth
2006-11-07,Moon,Gemini,Taurus,Mercury,air
2006-11-09,Moon,Cancer,Gemini,Moon,water
2006-11-11,Moon,Leo,Cancer,Sun,fire
2006-11-14,Moon,Virgo,Leo,Mercury,earth
2006-11-16,Moon,Libra,Virgo,Venus,air
2006-11-17,Venus,Sagittarius,Scorpio,Jupiter,fire
2006-11-19,Moon,Scorpio,Libra,Mars,water
2006-11-21,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-11-22,Sun,Sagittarius,Scorpio,Jupiter,fire
2006-11-23,Moon,Capricorn,Sagittarius,Saturn,earth
2006-11-24,Jupiter,Sagittarius,Scorpio,Jupiter,fire
2006-11-26,Moon,Aquarius,Capricorn,Saturn,air
2006-11-28,Moon,Pisces,Aquarius,Jupiter,water
2006-11-30,Moon,Aries,Pisces,Mars,fire
2006-12-02,Moon,Taurus,Aries,Venus,earth
2006-12-04,Moon,Gemini,Taurus,Mercury,air
2006-12-06,Moon,Cancer,Gemini,Moon,water
2006-12-06,Mars,Sagittarius,Scorpio,Jupiter,fire
2006-12-08,Moon,Leo,Cancer,Sun,fire
2006-12-08,Mercury,Sagittarius,Scorpio,Jupiter,fire
2006-12-11,Moon,Virgo,Leo,Mercury,earth
2006-12-11,Venus,Capricorn,Sagittarius,Saturn,earth
2006-12-13,Moon,Libra,Virgo,Venus,air
2006-12-16,Moon,Scorpio,Libra,Mars,water
2006-12-18,Moon,Sagittarius,Scorpio,Jupiter,fire
2006-12-21,Moon,Capricorn,Sagittarius,Saturn,earth
2006-12-22,Sun,Capricorn,Sagittarius,Saturn,earth
2006-12-23,Moon,Aquarius,Capricorn,Saturn,air
2006-12-25,Moon,Pisces,Aquarius,Jupiter,water
2006-12-27,Moon,Aries,Pisces,Mars,fire
2006-12-28,Mercury,Capricorn,Sagittarius,Saturn,earth
2006-12-29,Moon,Taurus,Aries,Venus,earth
2006-12-31,Moon,Gemini,Taurus,Mercury,air
2007-01-03,Moon,Cancer,Gemini,Moon,water
2007-01-04,Venus,Aquarius,Capricorn,Saturn,air
2007-01-05,Moon,Leo,Cancer,Sun,fire
2007-01-07,Moon,Virgo,Leo,Mercury,earth
2007-01-10,Moon,Libra,Virgo,Venus,air
2007-01-12,Moon,Scorpio,Libra,Mars,water
2007-01-15,Moon,Sagittarius,Scorpio,Jupiter,fire
2007-01-15,Mercury,Aquarius,Capricorn,Saturn,air
2007-01-17,Moon,Capricorn,Sagittarius,Saturn,earth
2007-01-17,Mars,Capricorn,Sagittarius,Saturn,earth
2007-01-19,Moon,Aquarius,Capricorn,Saturn,air
2007-01-20,Sun,Aquarius,Capricorn,Saturn,air
2007-01-21,Moon,Pisces,Aquarius,Jupiter,water
2007-01-23,Moon,Aries,Pisces,Mars,fire
2007-01-26,Moon,Taurus,Aries,Venus,earth
2007-01-28,Moon,Gemini,Taurus,Mercury,air
2007-01-28,Venus,Pisces,Aquarius,Jupiter,water
2007-01-30,Moon,Cancer,Gemini,Moon,water
2007-02-01,Moon,Leo,Cancer,Sun,fire
2007-02-02,Mercury,Pisces,Aquarius,Jupiter,water
2007-02-04,Moon,Virgo,Leo,Mercury,earth
2007-02-06,Moon,Libra,Virgo,Venus,air
2007-02-09,Moon,Scorpio,Libra,Mars,water
2007-02-11,Moon,Sagittarius,Scorpio,Jupiter,fire
2007-02-13,Moon,Capricorn,Sagittarius,Saturn,earth
2007-02-16,Moon,Aquarius,Capricorn,Saturn,air
2007-02-18,Moon,Pisces,Aquarius,Jupiter,water
2007-02-19,Sun,Pisces,Aquarius,Jupiter,water
2007-02-20,Moon,Aries,Pisces,Mars,fire
2007-02-21,Venus,Aries,Pisces,Mars,fire
2007-02-22,Moon,Taurus,Aries,Venus,earth
2007-02-24,Moon,Gemini,Taurus,Mercury,air
2007-02-26,Moon,Cancer,Gemini,Moon,water
2007-02-26,Mars,Aquarius,Capricorn,Saturn,air
2007-02-27,Mercury,Aquarius,Pisces,Saturn,air
2007-02-28,Moon,Leo,Cancer,Sun,fire
2007-03-03,Moon,Virgo,Leo,Mercury,earth
2007-03-05,Moon,Libra,Virgo,Venus,air
2007-03-08,Moon,Scorpio,Libra,Mars,water
2007-03-10,Moon,Sagittarius,Scorpio,Jupiter,fire
2007-03-13,Moon,Capricorn,Sagittarius,Saturn,earth
2007-03-15,Moon,Aquarius,Capricorn,Saturn,air
2007-03-17,Moon,Pisces,Aquarius,Jupiter,water
2007-03-18,Mercury,Pisces,Aquarius,Jupiter,water
2007-03-18,Venus,Taurus,Aries,Venus,earth
2007-03-19,Moon,Aries,Pisces,Mars,fire
2007-03-21,Sun,Aries,Pisces,Mars,fire
2007-03-21,Moon,Taurus,Aries,Venus,earth
2007-03-23,Moon,Gemini,Taurus,Mercury,air
2007-03-25,Moon,Cancer,Gemini,Moon,water
2007-03-28,Moon,Leo,Cancer,Sun,fire
2007-03-30,Moon,Virgo,Leo,Mercury,earth
2007-04-02,Moon,Libra,Virgo,Venus,air
2007-04-04,Moon,Scorpio,Libra,Mars,water
2007-04-06,Mars,Pisces,Aquarius,Jupiter,water
2007-04-07,Moon,Sagittarius,Scorpio,Jupiter,fire
2007-04-09,Moon,Capricorn,Sagittarius,Saturn,earth
2007-04-11,Moon,Aquarius,Capricorn,Saturn,air
2007-04-11,Mercury,Aries,Pisces,Mars,fire
2007-04-12,Venus,Gemini,Taurus,Mercury,air
2007-04-14,Moon,Pisces,Aquarius,Jupiter,water
2007-04-16,Moon,Aries,Pisces,Mars,fire
2007-04-18,Moon,Taurus,Aries,Venus,earth
2007-04-20,Sun,Taurus,Aries,Venus,earth
2007-04-20,Moon,Gemini,Taurus,Mercury,air
2007-04-22,Moon,Cancer,Gemini,Moon,water
