date,body,sign,from_sign,ruler,element
2018-02-21,Moon,Taurus,Aries,Venus,earth
2018-02-23,Moon,Gemini,Taurus,Mercury,air
2018-02-25,Moon,Cancer,Gemini,Moon,water
2018-02-27,Moon,Leo,Cancer,Sun,fire
2018-03-01,Moon,Virgo,Leo,Mercury,earth
2018-03-03,Moon,Libra,Virgo,Venus,air
2018-03-06,Moon,Scorpio,Libra,Mars,water
2018-03-06,Mercury,Aries,Pisces,Mars,fire
2018-03-07,Venus,Aries,Pisces,Mars,fire
2018-03-08,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-03-10,Moon,Capricorn,Sagittarius,Saturn,earth
2018-03-13,Moon,Aquarius,Capricorn,Saturn,air
2018-03-15,Moon,Pisces,Aquarius,Jupiter,water
2018-03-18,Moon,Aries,Pisces,Mars,fire
2018-03-18,Mars,Capricorn,Sagittarius,Saturn,earth
2018-03-20,Moon,Taurus,Aries,Venus,earth
2018-03-21,Sun,Aries,Pisces,Mars,fire
2018-03-22,Moon,Gemini,Taurus,Mercury,air
2018-03-24,Moon,Cancer,Gemini,Moon,water
2018-03-26,Moon,Leo,Cancer,Sun,fire
2018-03-29,Moon,Virgo,Leo,Mercury,earth
2018-03-31,Moon,Libra,Virgo,Venus,air
2018-03-31,Venus,Taurus,Aries,Venus,earth
2018-04-02,Moon,Scorpio,Libra,Mars,water
2018-04-04,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-04-07,Moon,Capricorn,Sagittarius,Saturn,earth
2018-04-09,Moon,Aquarius,Capricorn,Saturn,air
2018-04-12,Moon,Pisces,Aquarius,Jupiter,water
2018-04-14,Moon,Aries,Pisces,Mars,fire
2018-04-16,Moon,Taurus,Aries,Venus,earth
2018-04-19,Moon,Gemini,Taurus,Mercury,air
2018-04-20,Sun,Taurus,Aries,Venus,earth
2018-04-21,Moon,Cancer,Gemini,Moon,water
2018-04-23,Moon,Leo,Cancer,Sun,fire
2018-04-25,Moon,Virgo,Leo,Mercury,earth
2018-04-25,Venus,Gemini,Taurus,Mercury,air
2018-04-27,Moon,Libra,Virgo,Venus,air
2018-04-29,Moon,Scorpio,Libra,Mars,water
2018-05-02,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-05-04,Moon,Capricorn,Sagittarius,Saturn,earth
2018-05-07,Moon,Aquarius,Capricorn,Saturn,air
2018-05-09,Moon,Pisces,Aquarius,Jupiter,water
